Data Series,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Denmark,"3,580.5","3,421.8","2,760.6","2,587.5","2,408.8","2,361.5","1,952","2,079.8","1,881.3","1,632.9","1,606.1","1,534.8","1,840.4","1,964.6","2,159.1","2,324.6","1,510.2","1,307.6","1,019.1","1,058.9","1,184.1",675.7,717.6,709.1
Finland,420.3,370.1,344.5,289.3,327.3,253.9,203,236.1,238.4,281.4,277.8,283.3,274.5,159.9,167.2,275.5,250.5,247.8,244.1,na,na,19.7,11.4,31.7
France,"4,057","3,650.3","3,131","3,039.6","2,875.2","2,931.5","2,478.8","2,159.9","2,206.1","1,849.5","1,674","1,565","1,329.7","1,503.6","1,069.5","1,071.4","1,239.5",883.1,680.6,642.7,787.6,617.5,484.9,442.7
Germany,"6,122.9","6,772.7","5,068.3","3,500.5","5,256.2","5,014.7","3,807.6","3,807.4","3,398.9","3,963.5","3,822.8","3,470.7","3,502.9","3,227.9","2,929.8","3,194.1","3,114","2,442.6","2,028.1","2,001","1,537.4","1,526","1,135.1","1,123.9"
Greece,384.9,395.7,342.8,370.5,443.6,364.7,248.3,168,636.9,776.9,684.2,494.9,567.2,592.6,592.5,641.8,164.5,152.4,129.3,127.5,119,111.5,166,67.6
Ireland,"34,161.6","22,440.4","20,456.3","13,619.6","12,669.5","15,480.1","13,299.1","12,465.9","9,996.5","4,146","3,682.3","3,349.8","1,767.1",479.1,517.9,453.8,393.4,371,333.2,235.4,201.2,114.2,59.6,68.2
Italy,764.3,916.2,478.6,394.4,918.8,930.5,994.4,718.4,704.9,750.7,692.4,679.7,570.6,516.5,406.3,472.9,330.8,276.7,259.4,220.1,213.8,122.5,110.2,120.5
Luxembourg,"11,986.4","9,889.8","10,361.9","8,965.8","1,129.6","1,027.7",817.4,748.8,659.1,869.3,853.2,833.3,"1,088",731.5,508.8,697.8,671.6,458.3,203.3,187.6,59.9,38.5,45,59
Netherlands,"5,645.9","6,612.3","5,614","3,909.3","4,186.6","3,915","3,524.6","3,065.1","3,025","2,993.2","2,775.5","2,435.9","2,472.1","2,536.8","2,103.2","2,569.6","1,879.6","1,248.3","1,403.5","1,289.6","1,043.8",977.3,915,899.7
Norway,"1,573","1,737.5","1,875.1","1,528","1,789.2","1,738.2","1,603.1","1,991.5","2,556.8","2,301.3","2,064.9","1,693.2","1,506.1","1,747.4","1,925","1,771.1","1,394.5","1,061.4",853.7,638.3,234.8,191.2,117.9,122.9
